,x,y,z,yaw
1504,2.5987854443904137,-0.04702342128189507,1.0210945758918606,-1.325025750246152
1505,2.600760429505866,-0.04708392525809102,1.0211448696039338,-1.3260507884766133
1506,2.6027353322657665,-0.04714370593664602,1.0211950409006179,-1.3270738407464777
1507,2.604710151652493,-0.04720276228094561,1.0212450898745575,-1.3280949070557466
1508,2.6066848866484245,-0.04726109325437511,1.0212950166183972,-1.3291139874044187
1509,2.6086595362359386,-0.047318697820319944,1.0213448212247809,-1.3301310817924943
1510,2.610634099397414,-0.0473755749421651,1.0213945037863534,-1.3311461902199735
1511,2.61260857511523,-0.04743172358329628,1.0214440643957587,-1.332159312686855
1512,2.6145829623717636,-0.04748714270709886,1.0214935031456416,-1.3331704491931404
1513,2.6165572601493943,-0.04754183127695816,1.0215428201286458,-1.33417959973883
1514,2.6185314674305005,-0.047595788256259375,1.021592015437416,-1.335186764323923
1515,2.6205055831974597,-0.04764901260838805,1.021641089164596,-1.3361919429484193
1516,2.622479606432652,-0.047701503296730174,1.02169004140283,-1.3371951356123182
1517,2.6244535361184544,-0.04775325928467039,1.0217388722447625,-1.3381963423156216
1518,2.6264273712372455,-0.04780427953559452,1.0217875817830373,-1.3391955630583285
1519,2.628401110771404,-0.04785456301288804,1.0218361701102983,-1.3401927978404382
1520,2.630374753703309,-0.04790410867993661,1.0218846373191897,-1.341188046661952
1521,2.6323482990153373,-0.047952915500125426,1.0219329835023554,-1.3421813095228692
1522,2.634321745689869,-0.048000982436840256,1.0219812087524394,-1.3431725864231887
1523,2.6362950927092816,-0.048048308453466526,1.0220293131620855,-1.3441618773629127
1524,2.638268339055954,-0.048094892513389886,1.0220772968239378,-1.3451491823420403
1525,2.6402414837122636,-0.04814073357999604,1.0221251598306398,-1.3461345013605714
1526,2.6422145256605902,-0.048185830616670255,1.0221729022748356,-1.3471178344185057
1527,2.6441874638833114,-0.048230182586798176,1.0222205242491689,-1.3480991815158427
1528,2.646160297362806,-0.048273788453765565,1.022268025846283,-1.3490785426525842
1529,2.648133025081452,-0.04831664718095818,1.022315407158822,-1.3500559178287288
1530,2.6501056460216277,-0.04835875773176157,1.0223626682794298,-1.351031307044277
1531,2.652078159165712,-0.048400119069561376,1.0224098093007494,-1.3520047102992288
1532,2.6540505634960825,-0.048440730157743084,1.0224568303154247,-1.352976127593584
1533,2.6560228579951186,-0.04848058995969262,1.0225037314160992,-1.3539455589273421
1534,2.657995041645199,-0.04851969743879553,1.0225505126954164,-1.3549130043005042
1535,2.6599671134286997,-0.04855805155843801,1.0225971742460198,-1.3558784637130694
1536,2.661939072328002,-0.04859565128200505,1.022643716160553,-1.3568419371650386
1537,2.6639109173254827,-0.04863249557288307,1.022690138531659,-1.357803424656411
1538,2.6658826474035204,-0.0486685833944574,1.0227364414519815,-1.3587629261871874
1539,2.6678542615444933,-0.048703913710113955,1.0227826250141636,-1.3597204417573656
1540,2.66982575873078,-0.04873848548323878,1.0228286893108487,-1.3606759713669487
1541,2.6717971379447594,-0.0487722976772173,1.02287463443468,-1.361629515015935
1542,2.673768398168809,-0.048805349255435504,1.0229204604783009,-1.3625810727043248
1543,2.6757395383853075,-0.04883763918127948,1.0229661675343544,-1.363530644432117
1544,2.6777105575766336,-0.048869166418134546,1.0230117556954836,-1.364478230199314
1545,2.679681454725165,-0.04889992992938702,1.023057225054332,-1.365423830005914
1546,2.681652228813281,-0.04892992867842261,1.0231025757035421,-1.3663674438519182
1547,2.6836228788233587,-0.04895916162862757,1.0231478077357572,-1.367309071737325
1548,2.6855934037377773,-0.04898762774338711,1.0231929212436206,-1.3682487136621355
1549,2.6875638025389152,-0.049015325986087876,1.023237916319775,-1.3691863696263487
1550,2.68953407420915,-0.049042255320115524,1.0232827930568629,-1.3701220396299663
1551,2.6915042177308615,-0.04906841470885592,1.023327551547528,-1.3710557236729874
1552,2.6934742320864262,-0.049093803115694945,1.0233721918844128,-1.3719874217554118
1553,2.6954441162582237,-0.04911841950401907,1.02341671416016,-1.3729171338772397
1554,2.6974138692286327,-0.0491422628372139,1.0234611184674125,-1.3738448600384712
1555,2.6993834899800295,-0.049165332078665525,1.0235054048988128,-1.374770600239105
